Super built-up Area,availability,location,size_BHK,society,total_sqft,bath,balcony,price
Super built-up Area,Ready to move,Bagalur Main Road,2,Unknown Society,950,2,2,50
Super built-up Area,Ready to move,Kodihalli,4,Soianal,3252,5,3,335
Super built-up Area,Ready to move,Magadi Road,2,Vrenty,1116,2,1,50
Super built-up Area,Ready to move,Narayanapura,2,AriosHe,1308,2,2,89
Super built-up Area,Ready to move,MS Pallya,3,Unknown Society,1200,3,0,90
Plot Area,Ready to move,Binny Mills Employees Colony,4,Unknown Society,1500,4,2,230
Built-up Area,Ready to move,Bannerghatta Road,1,Unknown Society,500,1,1,18
Super built-up Area,Ready to move,Hennur,2,SLureSi,1075,2,1,52
Super built-up Area,Ready to move,Chandapura,1,Siissi,530,1,0,11
Built-up Area,Ready to move,Bellandur,2,Unknown Society,1205,2,3,66
Super built-up Area,Ready to move,5th Phase JP Nagar,2,Mangsr,1075,2,2,60
Built-up Area,Ready to move,KR Puram,2,HovasTe,930,2,2,39
Super built-up Area,Ready to move,Balagere,2,Exncene,1380,2,1,60
Super built-up Area,Ready to move,Hebbal,4,Prersis,2483,5,2,212
Built-up Area,Ready to move,Kodigehaali,2,Shyas S,1166,2,2,55
Super built-up Area,Ready to move,Bannerghatta Road,2,NadelCi,1050,2,1,65
Super built-up Area,Ready to move,Gopalapura,3,Sothadr,2023.71,3,2,275
Super built-up Area,Ready to move,Begur Road,2,Dhalsh,1200,2,2,46
Super built-up Area,Ready to move,Lakshminarayana Pura,3,Puarent,1600,2,1,108
Super built-up Area,Ready to move,Billekahalli,3,MaionPa,1935,3,2,110
Super built-up Area,Ready to move,8th Phase JP Nagar,1,Maian M,451,1,0,29
Super built-up Area,Ready to move,Electronic City,3,ShstaAl,1800,3,2,95
Super built-up Area,Ready to move,Jalahalli,3,Shard T,1400,3,0,77
Super built-up Area,Ready to move,Hegde Nagar,3,SoitaCa,1801,3,2,115
Built-up Area,Ready to move,Mahadevpura,2,Neagar,1451,2,1,90
Plot Area,Ready to move,Anekal,2,Unknown Society,1200,1,1,36
Super built-up Area,Ready to move,Begur Road,2,Dhalsh,1160,2,2,44
Built-up Area,Ready to move,Kengeri,2,Unknown Society,1000,2,1,25
Super built-up Area,Ready to move,Kanakpura Road,2,Wiowsri,950,2,1,40
Built-up Area,Ready to move,Vijayanagar,3,Unknown Society,1580,2,0,134
Super built-up Area,Ready to move,Vijayanagar,3,Saityat,1826,3,2,121
Built-up Area,Ready to move,7th Phase JP Nagar,2,Eladero,1245,2,1,94
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,Lancyey,1145,2,2,45
Super built-up Area,Ready to move,Sompura,2,Suiseit,825,2,1,33
Super built-up Area,Ready to move,Yeshwanthpur,3,Aroomba,1693,3,3,108
Super built-up Area,Ready to move,Electronics City Phase 1,2,Courf T,1113.27,2,2,53
Built-up Area,Ready to move,Ashirvad Colony,2,VMowsea,1460,2,1,58
Built-up Area,Ready to move,Doddathoguru,2,S onsMa,1050,2,1,32
Built-up Area,Ready to move,Dodda Nekkundi,2,Tuentpa,1260,2,2,55
Super built-up Area,Ready to move,K N Extension,6,Unknown Society,700,3,1,120
Built-up Area,Ready to move,Hosur Road,2,Tovesee,1656,2,1,120
Super built-up Area,Ready to move,Chandapura,3,Vailsaf,1208,3,1,45
Super built-up Area,Ready to move,Whitefield,3,BrlisCo,1910,3,2,161
Super built-up Area,Ready to move,Whitefield,4,Haestt,3252,4,1,230
Plot Area,Ready to move,Battarahalli,2,Unknown Society,1200,2,1,65
Super built-up Area,Ready to move,Gokula Extension,4,Unknown Society,1200,4,1,175
Super built-up Area,Ready to move,7th Phase JP Nagar,2,BriumMi,1175,2,1,82
Plot Area,Ready to move,Kamakshipalya,2,Unknown Society,1000,2,0,165
Plot Area,Ready to move,Bannerghatta Road,4,Unknown Society,1200,2,0,125
Super built-up Area,Ready to move,Rajaji Nagar,3,PhestOn,2390,3,2,410
Super built-up Area,Ready to move,Rajaji Nagar,7,Unknown Society,12000,6,3,2200
Plot Area,Ready to move,Sultan Palaya,2,Unknown Society,550,1,1,62
Super built-up Area,Ready to move,Kengeri,1,Unknown Society,34.46Sq. Meter,1,0,18
Super built-up Area,Ready to move,Sanne Amanikere,2,Hoxiaa,1185,2,1,38
Super built-up Area,Ready to move,Kengeri,2,VBvenal,750,2,1,38
Plot Area,Ready to move,Mahalakshmi Layout,6,Unknown Society,1200,7,3,250
Super built-up Area,Ready to move,Kanakpura Road,3,JRrnauv,1550,3,3,64
Built-up Area,Ready to move,Amco Colony,3,Hoeatan,1760,3,2,88
Super built-up Area,Ready to move,Billekahalli,2,Asity S,1125,2,2,62
Plot Area,Ready to move,Nagarbhavi,3,Unknown Society,1350,3,2,150
Plot Area,Ready to move,Anandapura,2,Unknown Society,1000,2,1,55
Built-up Area,Ready to move,Bommasandra Industrial Area,2,Unknown Society,1090,2,2,31
Plot Area,Ready to move,TC Palaya,2,Unknown Society,1200,2,0,60
Super built-up Area,Ready to move,Budigere,3,PrityTr,1991,4,2,103
Super built-up Area,Ready to move,Bommasandra,2,DSoodil,1060,2,1,26
Super built-up Area,Ready to move,Ambalipura,2,SJarkte,1105,2,1,75
Built-up Area,Ready to move,Hoodi,2,Dhgraas,985,2,2,67
Plot Area,Ready to move,Chandapura,6,Unknown Society,1533,5,3,85
Super built-up Area,Ready to move,Balagere,3,HiqueMa,1590,3,2,79
Super built-up Area,Ready to move,CV Raman Nagar,2,Srshq T,1120,2,2,55
Super built-up Area,Ready to move,Samethanahalli,2,SPontna,1069,2,1,55
Super built-up Area,Ready to move,Marathahalli,3,Prionad,1933,3,2,140
Built-up Area,Ready to move,Hosur Road,2,PuendWe,1194,2,0,69
Super built-up Area,Ready to move,Brookefield,2,Danna S,1150,2,3,69
Super built-up Area,Ready to move,Yelenahalli,2,Unknown Society,1240,2,2,47
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2,48
Plot Area,Ready to move,7th Phase JP Nagar,8,Unknown Society,1200,8,1,250
Super built-up Area,Ready to move,Richmond Town,3,Bltonin,2150,4,1,240
Super built-up Area,Ready to move,Suddaguntepalya,3,MSanaer,1450,3,2,55
Super built-up Area,Ready to move,Udayapur Village,3,Plowsri,1630,3,2,68
Super built-up Area,Ready to move,Dasanapura,2,Tavenew,708,1,1,40
Plot Area,Ready to move,Kasavanhalli,3,Unknown Society,1000,4,3,110
Plot Area,Ready to move,Whitefield,4,Unknown Society,11890,4,3,700
Super built-up Area,Ready to move,Bellandur,2,Ocavees,1250,2,1,76
Super built-up Area,Ready to move,7th Phase JP Nagar,3,Brnia G,1400,2,1,95
Super built-up Area,Ready to move,Sarjapur Road,3,Unknown Society,1670,2,3,57
Super built-up Area,Ready to move,Ardendale,3,SoystAm,1750,3,2,100
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1404,2,1,71
Super built-up Area,Ready to move,Hoodi,3,SMaxyay,1715,2,2,95
Built-up Area,Ready to move,Electronic City,1,Prarkun,630,1,1,34
Super built-up Area,Ready to move,Harlur,3,SosicCl,1752.12,3,2,135
Super built-up Area,Ready to move,Hulimavu,3,Unknown Society,1650,3,2,78
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55
Plot Area,Ready to move,Giri Nagar,3,Bancyri,1800,3,2,252
Super built-up Area,Ready to move,Sarjapur Road,2,PualeSk,1346,2,1,74
Plot Area,Ready to move,Thippasandra,4,Unknown Society,1200,4,2,200
Super built-up Area,Ready to move,Hormavu,2,ElavuHo,1150,2,2,55
Built-up Area,Ready to move,Chikkabidarakallu,4,Gontyol,3309,4,3,325
Super built-up Area,Ready to move,Chandapura,3,SunceEs,1190,2,2,30
Super built-up Area,Ready to move,AECS Layout,3,DSutyng,1620,3,2,98
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,950,2,1,46
Super built-up Area,Ready to move,1 Giri Nagar,11,Bancyri,5000,9,3,360
Super built-up Area,Ready to move,Harlur,3,SrEndPo,2450,3,0,120
Super built-up Area,Ready to move,Electronic City Phase II,3,Sryalan,1220,2,1,35
Super built-up Area,Ready to move,Hoysalanagar,2,RKntsrt,850,2,1,30
Built-up Area,Ready to move,Padmanabhanagar,2,Unknown Society,1020,2,2,63
Built-up Area,Ready to move,Chikkalasandra,2,Unknown Society,1100,2,2,50
Super built-up Area,Ready to move,Defence Colony,2,Vantspa,1150,2,2,126
Super built-up Area,Ready to move,Hebbal,3,Mahosya,1760,2,2,130
Super built-up Area,Ready to move,Ambalipura,3,Unknown Society,1800,3,3,110
Super built-up Area,Ready to move,Akshaya Nagar,2,Unknown Society,1070,2,1,54
Plot Area,Ready to move,2nd Stage Nagarbhavi,4,Unknown Society,1500,4,2,220
Plot Area,Ready to move,Vidyaranyapura,2,Unknown Society,1440,2,0,95
Super built-up Area,Ready to move,Amruthahalli,2,Prowsi,900,2,1,40
Built-up Area,Ready to move,ITI Employees Layout,4,Unknown Society,1200,4,1,230
Super built-up Area,Ready to move,Whitefield,2,SMuilan,1130,2,1,42
Super built-up Area,Ready to move,Koramangala,2,Proodt,1320,2,1,165
Super built-up Area,Ready to move,Kodigehalli,2,Unknown Society,1270,2,1,98
Built-up Area,Ready to move,Patelappa Layout,2,Sryamar,1200,2,1,62
Super built-up Area,Ready to move,Ring Road Nagarbhavi,4,Unknown Society,4800,4,1,235
Super built-up Area,Ready to move,NS Palya,2,Unknown Society,1200,2,1,74
Super built-up Area,Ready to move,Subramanyapura,2,Prldsri,929,2,0,50
Built-up Area,Ready to move,RMV 2nd Stage,4,LiaveEn,1150,4,2,260
Plot Area,Ready to move,Basavangudi,4,Unknown Society,1125,4,3,180
Plot Area,Ready to move,Kenchenahalli,5,Unknown Society,500,3,2,65
Plot Area,Ready to move,3rd Block Hrbr Layout,5,Bemesrm,1200,5,2,190
Super built-up Area,Ready to move,KUDLU MAIN ROAD,3,Unknown Society,1464,3,2,56
Super built-up Area,Ready to move,7th Phase JP Nagar,4,Unknown Society,3600,4,3,400
Plot Area,Ready to move,Bank Avenue,4,Unknown Society,2000,4,2,99
Super built-up Area,Ready to move,Chikkalasandra,2,Unknown Society,1208,2,1,49
Super built-up Area,Ready to move,Hebbal Kempapura,2,Vrensn,1130,2,2,60
Super built-up Area,Ready to move,Surabhi Layout,3,VDdonel,1753,3,2,120
Super built-up Area,Ready to move,Old Madras Road,5,Brica E,4500,7,3,337
Plot Area,Ready to move,Banjara Layout,3,Unknown Society,600,3,2,58
Super built-up Area,Ready to move,Hoodi,2,GoAirej,1196,2,2,94
Built-up Area,Ready to move,5th Phase JP Nagar,2,Prenty,1150,3,3,52
Super built-up Area,Ready to move,Electronic City,2,Prarkun,1128,2,1,63
Super built-up Area,Ready to move,Omkar Nagar,2,Shinei,1000,2,1,53
Super built-up Area,Ready to move,Yelahanka,2,Apows M,1035,2,1,45
Built-up Area,Ready to move,Kereguddadahalli,2,Unknown Society,950,2,1,32
Super built-up Area,Ready to move,Bisuvanahalli,3,Prityel,1075,2,1,36
Super built-up Area,Ready to move,Whitefield,2,SVineun,1040,2,1,48
Plot Area,Ready to move,Maragondanahalli,2,Unknown Society,720,2,1,45
Super built-up Area,Ready to move,Lingadheeranahalli,3,Soiewre,1511,3,1,95
Built-up Area,Ready to move,Silk Board,3,Unknown Society,1300,3,1,58
Super built-up Area,Ready to move,Hoodi,3,Caycend,1545,3,1,68
Built-up Area,Ready to move,Shampura,1,Unknown Society,375,2,0,26
Super built-up Area,Ready to move,Vidyaranyapura,2,Unknown Society,1062,2,3,38
Super built-up Area,Ready to move,Kada Agrahara,2,Unknown Society,1115,2,1,40
Super built-up Area,Ready to move,JP Nagar,2,DSvvyx,1000,2,1,35
Super built-up Area,Ready to move,Kambipura,2,Prrtht,883,2,1,45
Super built-up Area,Ready to move,Sarjapur Road,2,Brareio,1195,2,1,70
Plot Area,Ready to move,BHEL Layout,4,Unknown Society,1200,3,1,165
Built-up Area,Ready to move,Medahalli,1,Unknown Society,700,1,0,41
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1246,2,1,67
Plot Area,Ready to move,8th Phase JP Nagar,4,Unknown Society,660,4,2,90
Plot Area,Ready to move,Banashankari Stage III,4,Unknown Society,8500,4,2,145
Super built-up Area,Ready to move,Kashi Nagar,4,Unknown Society,1600,4,1,80
Super built-up Area,Ready to move,Haralur Road,4,SNnia E,2805,5,3,154
Super built-up Area,Ready to move,Begur Road,3,Unknown Society,1584,3,1,65
Plot Area,Ready to move,Sector 7 HSR Layout,4,Unknown Society,3000,5,1,275
Built-up Area,Ready to move,Hosur Road,3,Unknown Society,1175,2,2,48
Super built-up Area,Ready to move,VHBCS Layout,2,OlarkLa,1353,2,2,110
Super built-up Area,Ready to move,Electronic City,3,Prarkun,1599,3,2,125
Super built-up Area,Ready to move,Whitefield,2,SuMTBPr,1150,2,1,70
Super built-up Area,Ready to move,Jakkur,4,Lecco C,5230,6,1,465
Super built-up Area,Ready to move,KR Puram,2,Jahidva,1155,2,2,42
Built-up Area,Ready to move,Ittamadu,1,Unknown Society,1200,2,0,85
Super built-up Area,Ready to move,Electronic City Phase II,2,Unknown Society,1000,2,1,25
Super built-up Area,Ready to move,Thanisandra,4,Unknown Society,3000,4,1,120
Built-up Area,Ready to move,Rajiv Nagar,3,PuoodSk,1867,3,1,160
Super built-up Area,Ready to move,Ramagondanahalli,2,ViistLa,1251,2,1,47
Super built-up Area,Ready to move,Gattahalli,2,Arano M,1028,2,1,45
Super built-up Area,Ready to move,Arekere,2,Amngsag,1222,2,2,45
Super built-up Area,Ready to move,Bannerghatta Road,3,SNity S,1170,2,1,66
Super built-up Area,Ready to move,Hebbal,3,Kacesh,2400,4,1,245
Super built-up Area,Ready to move,Ramanjaneyanagar,3,Unknown Society,1385,2,2,48
Super built-up Area,Ready to move,HSR Layout,2,SrisePo,1372,2,1,68
Super built-up Area,Ready to move,Magadi Road,3,Bilya A,1282,2,2,49
Super built-up Area,Ready to move,Mico Layout,9,Amsomun,5000,9,3,210
Built-up Area,Ready to move,7th Block Jayanagar,5,Unknown Society,3000,3,1,528
Super built-up Area,Ready to move,Kanakpura Road,2,Shdhia,1135,2,1,39
Built-up Area,Ready to move,Whitefield,3,Unknown Society,1768,3,2,101
Built-up Area,Ready to move,Byatarayanapura,3,Foconna,1325,2,1,90
Super built-up Area,Ready to move,Electronic City,3,Prarkun,1599,3,2,99
Plot Area,Ready to move,Whitefield,3,Unknown Society,1500,3,1,61
Plot Area,Ready to move,2nd Phase JP Nagar,3,Unknown Society,2610,3,0,499
Super built-up Area,Ready to move,Uttarahalli,2,Unknown Society,1286,2,2,63
Built-up Area,Ready to move,Kammanahalli,5,Unknown Society,2845,5,1,140
Super built-up Area,Ready to move,K G Colony,3,Aincy R,1600,2,1,50
Super built-up Area,Ready to move,Hennur Road,2,Shxorm,1195,2,0,63
Super built-up Area,Ready to move,Hebbal,3,Brium C,3450,5,2,260
Super built-up Area,Ready to move,Munnekollal,2,Sadhii,1102,2,2,53
Super built-up Area,Ready to move,Yelahanka,2,Sahanra,1350,2,2,54
Super built-up Area,Ready to move,Banashankari,3,Unknown Society,1200,2,2,42
Plot Area,Ready to move,Hosa Road,6,Unknown Society,1300,6,0,145
Plot Area,Ready to move,Herohalli,2,Unknown Society,1800,1,1,80
Built-up Area,Ready to move,Chikkabanavar,2,Unknown Society,950,2,1,40
Super built-up Area,Ready to move,Kanakpura Road,1,PrarePa,525,1,1,27
Built-up Area,Ready to move,Attibele,2,Jae 2hu,656,2,1,25
Plot Area,Ready to move,Marathahalli,4,Unknown Society,1780,4,3,175
Super built-up Area,Ready to move,3rd Block Hrbr Layout,2,Icncy R,1056,2,1,80
Super built-up Area,Ready to move,Bannerghatta Road,1,Hiatei,595,1,1,33
Built-up Area,Ready to move,Ittamadu,2,Unknown Society,1080,2,2,50
Super built-up Area,Ready to move,7th Phase JP Nagar,3,Puarero,2225,3,1,160
Super built-up Area,Ready to move,Bommasandra,2,DSoodil,1126,2,1,28
Super built-up Area,Ready to move,Electronics City Phase 1,3,GaicaVe,1490,3,1,84
Plot Area,Ready to move,HRBR Layout,4,Unknown Society,2000,4,1,300
Super built-up Area,Ready to move,Sarjapur Road,3,PuineSu,1550,3,3,100
Super built-up Area,Ready to move,Unknown Society,3,Grare S,1600,3,2,86
Built-up Area,Ready to move,Ashwini layout,2,Unknown Society,1160,2,1,55
Built-up Area,Ready to move,Whitefield,4,PrOakSi,4144,4,3,315
Super built-up Area,Ready to move,Sarjapur Road,3,Supleon,2100,3,2,125
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1404,2,1,69
Plot Area,Ready to move,Sarjapur Road,4,LGestbo,2230,4,3,225
Super built-up Area,Ready to move,Marathalli bridge,3,Unknown Society,1544,3,1,120
Super built-up Area,Ready to move,Banashankari Stage III,3,Pridsi,1305,2,1,58
Super built-up Area,Ready to move,Marathahalli,2,Aahts H,1230,2,2,80
Plot Area,Ready to move,T.C PALYA,2,Unknown Society,1200,2,0,65
Super built-up Area,Ready to move,Harlur,3,Unknown Society,1460,3,1,73
Plot Area,Ready to move,Sarjapur Road,Unknown Society,Asiss B,1200,Unknown Society,1,34
Built-up Area,Ready to move,Gottigere,2,Unknown Society,967,2,3,45
Built-up Area,Ready to move,Byatarayanapura,1,Unknown Society,540,1,1,36
Super built-up Area,Ready to move,Hormavu,1,Kolisl,715,1,2,46
Super built-up Area,Ready to move,Whitefield,3,Toindls,2500,3,2,313
Super built-up Area,Ready to move,Dooravani Nagar,3,Puceswn,1578,3,1,180
Super built-up Area,Ready to move,Mysore Road,2,Unknown Society,1020,2,1,48
Super built-up Area,Ready to move,Jigani,2,i1odsne,1020,2,1,40
Super built-up Area,Ready to move,Koramangala,2,Ansna K,1253,2,1,102
Super built-up Area,Ready to move,JCR Layout,2,ARnamru,1180,2,2,42
Super built-up Area,Ready to move,Nehru Nagar,2,Veyalin,961,2,2,38
Built-up Area,Ready to move,Kanakapura,3,Unknown Society,1419,3,3,75
Super built-up Area,Ready to move,Harlur,3,SomonCi,1709,3,2,150
Plot Area,Ready to move,Papareddipalya,2,Unknown Society,1600,2,0,115
Super built-up Area,Ready to move,Venkatapura,1,Unknown Society,416,1,1,18
Carpet Area,Ready to move,Sanjay nagar,2,Unknown Society,1100,2,2,98
Super built-up Area,Ready to move,HSR Layout,3,Unknown Society,1430,2,1,65
Super built-up Area,Ready to move,Sneha Colony,2,Daill S,1260,2,2,45
Built-up Area,Ready to move,RMV Extension,3,DSureSi,1630,3,2,85
Super built-up Area,Ready to move,Sarjapur Road,3,Soini T,1249,3,2,44
Super built-up Area,Ready to move,Kalena Agrahara,3,MancyRe,1450,2,3,85
Super built-up Area,Ready to move,Konanakunte,3,Prasa W,2791,3,1,223
Super built-up Area,Ready to move,Hosapalya,1,Unknown Society,600,1,0,90
Built-up Area,Ready to move,Ashwini layout,1,Kaantth,834,1,1,60
Plot Area,Ready to move,Doddagubbi,3,Unknown Society,1125,4,1,70
Super built-up Area,Ready to move,Arekere,3,Unknown Society,2060,3,2,140
Super built-up Area,Ready to move,Malleshwaram,7,Unknown Society,12000,7,3,2200
Built-up Area,Ready to move,Gottigere,2,Drente,891,2,1,25
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1,49
Built-up Area,Ready to move,Bisuvanahalli,3,Prityel,1075,2,1,37
Super built-up Area,Ready to move,Sector 6 HSR Layout,4,Unknown Society,3000,5,2,260
Plot Area,Ready to move,Brookefield,4,Unknown Society,2440,5,2,425
Built-up Area,Ready to move,Vidyaranyapura,2,Unknown Society,1200,2,2,55
Super built-up Area,Ready to move,Thanisandra,2,Unknown Society,1075,2,2,45
Super built-up Area,Ready to move,Kaggadasapura,2,Unknown Society,1140,2,2,40
Plot Area,Ready to move,Margondanahalli,5,Unknown Society,940,4,2,150
Plot Area,Ready to move,ITI Layout,6,Unknown Society,2160,5,1,250
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,SGandea,1090,2,1,42
Built-up Area,Ready to move,R.T. Nagar,4,Unknown Society,1500,4,1,70
Super built-up Area,Ready to move,Whitefield,4,Unknown Society,4104,4,2,360
Super built-up Area,Ready to move,Whitefield,3,Unknown Society,1790,3,1,100
Super built-up Area,Ready to move,Hebbal,3,Mahosya,1920,3,2,134
Built-up Area,Ready to move,HRBR Layout,2,Eline P,1374,2,2,95
Carpet Area,Ready to move,Bannerghatta Road,3,Unknown Society,1445,3,2,95
Super built-up Area,Ready to move,Kanakapura,1,GoityEt,711,1,1,36
Super built-up Area,Ready to move,Tumkur Road,3,SosonGa,1500,3,3,95
Super built-up Area,Ready to move,Whitefield,3,Gotis A,1720,3,3,100
Super built-up Area,Ready to move,Vasanthapura,3,Unknown Society,1400,3,2,60
Built-up Area,Ready to move,Kundalahalli,2,Unknown Society,1030,2,2,49
Super built-up Area,Ready to move,Mysore Road,2,PrntaEn,1200,2,1,85
Carpet Area,Ready to move,Hosahalli,3,NSezeBr,1375,3,2,70
Plot Area,Ready to move,Hegde Nagar,2,Unknown Society,1050,1,1,56
Super built-up Area,Ready to move,Jalahalli,3,Tahtsla,2250,3,2,160
Super built-up Area,Ready to move,Bellandur,2,Sronda,1000,2,2,50
Super built-up Area,Ready to move,Jalahalli West,1,Prntsax,469,1,0,25
Super built-up Area,Ready to move,Marathahalli,4,PueraRi,3800,4,3,250
Super built-up Area,Ready to move,Kambipura,2,Prrtht,883,2,1,29
Super built-up Area,Ready to move,GM Palaya,3,Chnts A,1820,2,3,86
Built-up Area,Ready to move,Singasandra,3,Unknown Society,1440,2,3,65
Super built-up Area,Ready to move,near Ramanashree California resort,6,Unknown Society,3600,4,1,160
Built-up Area,Ready to move,Malleshwaram,4,GaityEt,2500,5,2,325
Super built-up Area,Ready to move,Mahadevpura,2,Unknown Society,1225,2,2,48
Carpet Area,Ready to move,Chikkalasandra,2,Unknown Society,875,2,3,52
